"lanupro_ontology","index","sample_id","sample_type","sample_date","unit","sample_form","repetition","run","protocol","storage","gc_method","info","batch","cas_nr","company","arrival_date","ref_nr","drymatter_g_kg","ash_g_kgdm","crude_fibre_g_kgdm","crude_protein_g_kgdm","crude_fat_g_kgdm","adf_g_kgdm","ndf_g_kgdm","starch_g_kgdm"
"deprecated_names","#","sample_ID","none",NA,"none","Sample form","none","none","Protocol","Storage","GC method",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"category","quantitative","qualitative","factor","date","qualitative","factor","quantitative","quantitative","qualitative","qualitative","qualitative",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"type","numeric","string","string","string","string","string","numeric","numeric","string","string","string",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"description","index numbering of the rows","sample_id: <s>_<project acronym and last 2 digits of the year>_<experiment number>_<3 digits sample number>","type of sample","date of sampling format <dd/mm/yyyy>","variable unit
mmol: millimol
umol: µmol","in which form the sample is stored before analysis","analytic repetion of the analysis","analytic run of the analysis","lab protocol","storage place of the sample","protocol of gas chromatography",NA,NA,NA,NA,"If exact date not known, 1/1 is put",NA,NA,NA,NA,NA,NA,NA,NA,"starch content (g per kg dry matter)"
"default_unit","none","none","none",NA,"none","none","none",NA,"none","none","none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_01",NA,NA,"milk",NA,"none","dry",NA,NA,"cm_methyl_2","unknown_location","long_1_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_02",NA,NA,"colostrum",NA,"g_per_100_g_fatty_acids","extract",NA,NA,"adf_dry_lignin_1","minus_80c","long_1_30",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_03",NA,NA,"blood_whole",NA,"mmol_per_l_serum","fresh",NA,NA,"apple_ppo_3","fridge_incub_lab","long_1_50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_04",NA,NA,"blood_serum",NA,"umol_per_l_serum","frozen",NA,NA,"cm_sep_spe_2","freezer_incub_lab","short_05_100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_05",NA,NA,"blood_plasma",NA,NA,"lyo",NA,NA,"cm_sep_tlc_1","fridge_chem_lab","short_05_50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_06",NA,NA,"meat_minced",NA,NA,"autoclaved",NA,NA,"fat_methyl_1","freezer_chem_lab","short_07_75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_07",NA,NA,"meat_steak",NA,NA,NA,NA,NA,"feed_dry_adf_1","fridge_basement","short_1_100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_08",NA,NA,"faeces",NA,NA,NA,NA,NA,"feed_dry_crudefiber_1","freezer_basement","short_1_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_09",NA,NA,"rumen_fluid",NA,NA,NA,NA,NA,"feed_dry_extract_1","rt_incub_lab","short_1_50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_10",NA,NA,"apple",NA,NA,NA,NA,NA,"feed_dry_fat_1","rt_chem_lab","short_2_25",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_11",NA,NA,"bacteria",NA,NA,NA,NA,NA,"feed_dry_n_1","not_stored","vfa_dmso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_12",NA,NA,"blood",NA,NA,NA,NA,NA,"feed_dry_ndf_1",NA,"vfa_glycerol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_13",NA,NA,"duodenum",NA,NA,NA,NA,NA,"feed_fresh_dm_and_ash_1",NA,"vfa_oct22",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_14",NA,NA,"emulsion",NA,NA,NA,NA,NA,"feed_fresh_extract_1",NA,"vfa_sept12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_15",NA,NA,"forage",NA,NA,NA,NA,NA,"feed_laca_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_16",NA,NA,"in_vitro_abomasum_small_intestine",NA,NA,NA,NA,NA,"feed_lyo_dt_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_17",NA,NA,"in_vitro_rumen",NA,NA,NA,NA,NA,"feed_vfa_and_eba_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_18",NA,NA,"oil",NA,NA,NA,NA,NA,"feed_vfa_minus_eba_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_19",NA,NA,"omasal",NA,NA,NA,NA,NA,"milk_fresh_extract_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_20",NA,NA,"products",NA,NA,NA,NA,NA,"milk_fresh_extract_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_21",NA,NA,"rumen",NA,NA,NA,NA,NA,"milk_fresh_extract_4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_22",NA,NA,"sab",NA,NA,NA,NA,NA,"milk_lyo_extract_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_23",NA,NA,"soil",NA,NA,NA,NA,NA,"milk_methyl_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_24",NA,NA,"soluble_crude_protein",NA,NA,NA,NA,NA,"milk_methyl_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_25",NA,NA,"standard",NA,NA,NA,NA,NA,"oil_tba_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_26",NA,NA,"water",NA,NA,NA,NA,NA,"plasma_fresh_dt_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_27",NA,NA,NA,NA,NA,NA,NA,NA,"plasma_fresh_extract_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_28",NA,NA,NA,NA,NA,NA,NA,NA,"plasma_sep_spe_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_29",NA,NA,NA,NA,NA,NA,NA,NA,"protein_extract_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_30",NA,NA,NA,NA,NA,NA,NA,NA,"rumen_fresh_extract_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_31",NA,NA,NA,NA,NA,NA,NA,NA,"rumen_fresh_extract_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_32",NA,NA,NA,NA,NA,NA,NA,NA,"rumen_fresh_extract_3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_33",NA,NA,NA,NA,NA,NA,NA,NA,"rumen_lyo_dt_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_34",NA,NA,NA,NA,NA,NA,NA,NA,"rumen_lyo_dt_2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_35",NA,NA,NA,NA,NA,NA,NA,NA,"rumen_nh3_n_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_36",NA,NA,NA,NA,NA,NA,NA,NA,"rumen_vfa_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_37",NA,NA,NA,NA,NA,NA,NA,NA,"urine_allantoin_1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_38",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"level_39",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
